"","Business_id","Categories","Text"
"1",1,249,"patties, Subway, Italian Hoagie, Mr Hoagie, good alternative, booths, old fashioned menu board, years, area year, large selection of food, speciality, institution, Overall, best, ingredients, burger, throwback, road, Walking"
"2",1,249,"tradition, great place, Superb customer service, Excellent food, mario machines"
"3",1,249,"hoggies, daily specials, ice cream, fresh veggies, pennysaver awards, years, toppings, banana split, place, food, staff, order, weekend"
"4",2,75,"Reuben sandwich, giant fish sandwich, place, Open-Faced Steak Sandwich, Rick Sebak, Things, bit of advice, late lunch today, extremely large portions, giant Reuben, dishes, meal, Mondays, times, Sundays, afternoon, Saturday, Dad, Oh, Brother, parents, Pittsburgh, Mom, recommendations, staff, people, drinks, ATM"
"5",2,75,"best Fish Sandwich, Pittsburgh"
"6",2,75,"place, portions, Norfolk, lot of food, taste, Hawkins St Special-Prime Rib, style, kitchen - busy times, different people, movie, Pittsburgh, years, Fish Sandwiich-Salmon, good value, ages, miss, service, little complaints, Flounder, ways, prices, reviews, gem, menu, ambiance, girls, table"
"7",2,75,"beer, Pittsburgh, WQED, luxurious restaurant, place ai, Rick Seback, food, people, fish sandwich, lounge, shot bar, town, Rankin, Things, Emil, places"
"8",2,75,"mom, non-corporate, n pop, way, superb fried shrimp, best fish, chips, quality, vestige of Americana, perfection"
"9",2,75,"burgers  i, super nice service, best places, Pittsburgh, girlfriend, fish sandwich, reasonable prices, Rick Sebackack, employees, Ruben, restaurant, owner"
"10",2,75,"Emil, owner Chrissy, food, lot of recent patrons, classic dishes, staff, grandmother, WQED, family"
"11",2,75,"Yelp page, Map, Wonderful reuben, different Hawkins, directions"
"12",2,75,"fish sammich, Fish sandwiches, breaded fish, pound of fish, fish-shaped bun, da burgh, good portions, good NY Reuben, best fish sandwich, good job, good sturdy chairs, kind of neighborhood dive, decent Reuben, friend, comfortable neighborhood hole, good food counts, lunchtime, plain white walls, old world bar, blue collar neighborhood, actual white linens, week day, yinzer pics, reasonable prices, Big Burrito, Sousa foodies, big thick burgers, brewed iced tea, adjoining table, overall, tables, kind of like Cheers, dark wood bar, Emil, growing crowd, Saturday, morning of Thrift Store hunting, popular hamburger bun, Holy Grail, building, highway, eyes, Reaaaaaalllly, meat, Mapquest, GPS, hidden gem, blocks, lounge, restaurant, Chris Sebak, waitress, NY awesome, frills, Chicken Parm special, Rat Pack scene, filling, Fan-freakin-tastic, old hand, welcomed change, Pepsi products, bit, visit, batter excellent, handful of, cheap scotch, lunch hour, poker, shot, Addendum, Dino, steak, Reubens, ca, middle, fries, door, place, bush, entrance, wham"
"13",2,75,"fish sandwich, ribeye sandwich, Huge sandwich, street, Rankin Police Station, friendly service, Fast, wide selection, menu, hidden gem, mushrooms, boyfriend"
"14",2,75,"police officers, nice size pieces of fish, Rankin police station, places, world, locals, best fish sandwiches, Italo Donatucci, Friday, small mac n cheese, staff, service, choice of sides, coolest old Italian dude, Lent season, years, Pittsburgh, rough neighborhood, menu items, visit, way, yo buddy, lunch orders, rating, pound, street, reviews, bun"
"15",2,75,"menu, favorite, Huge burgers, bit, Huge portions, fish sandwiches, salads, original owners, divey place, Decent service, Certain items, wait"
